name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
Sri Maju Bus Station,101.0824394,4.5897594,bus_station,Jalan C.M. Yusuf,,,,Majlis Bandaraya Ipoh,Perak,"30000",Malaysia,,,station,,,
Jeti Kuala Tahan,102.4012289,4.3836474,ferry_terminal,FT1508,,,,,Pahang,,Malaysia,,,,,,
Viaduct Station,100.2711487,5.4210223,halt,Viaduct to Claremont,,,,George Town,Pulau Pinang,"11300",Malaysia,,,stop_position,,,
Middle Station,100.2738248,5.4157917,station,Middle to Air Itam,,,,George Town,Pulau Pinang,"11300",Malaysia,,,station,,,
Jetty Mersing,103.8388105,2.4345868,ferry_terminal,Jalan Abu Bakar,,,Mersing,,Johor,"86807",Malaysia,,,station,,,
,104.1522993,2.8762196,ferry_terminal,Air Batang,,,,Tioman,Pahang,,Malaysia,,,,,,
,104.1784539,2.7179508,ferry_terminal,"Jeti Penumpang Mukut, Pulau Tioman",,,,,,,Malaysia,,,station,,,
KL Sentral,101.6868577,3.133679,bus_station,Jalan Stesen Sentral,,,,Kuala Lumpur,Kuala Lumpur,"50470",Malaysia,"Skybus;Aerobus","to KLIA, LCCT, Genting, Penang",station,,,
,101.6534609,3.0531212,taxi,Lebuhraya Bukit Jalil,Bandar Kinrara,,,Majlis Bandaraya Subang Jaya,Selangor,"47180",Malaysia,,,,,,
,102.2500588,2.2221229,taxi,Lingkaran Melaka Sentral,,,,Bandaraya Melaka,Melaka,"75400",Malaysia,,,,,,
Pangkalan Boyan-Gersik,110.3513684,1.558582,pier,Jalan Tunku Abdul Rahman,,,,Kuching,Sarawak,"93000",Malaysia,,,,,,
Taxi Stand,101.6993026,3.1716837,taxi,Jalan Pahang,Sentul,,,Kuala Lumpur,Kuala Lumpur,"50586",Malaysia,,,,,,
,115.2404186,5.2770883,ferry_terminal,纳闽码头,,,,Bandar Victoria,Labuan,"87009",Malaysia,,,station,,,
Pelabuhan Klang,101.3884665,2.9986856,ferry_terminal,Jalan Syahbandar,,,Pelabuhan Klang,Bandaraya Klang,Selangor,"42009",Malaysia,,,station,,,
Jesselton Point Waterfront,116.0792234,5.9898488,ferry_terminal,Jalan Haji Saman,,,,Kota Kinabalu,Sabah,"88300",Malaysia,,,station,,,
,116.3490195,6.3842997,ferry_terminal,Jalan Kuala Abai,,,,,Sabah,,Malaysia,,,station,,,
Terminal Feri Kukup,103.4411067,1.324836,ferry_terminal,"95",,,Kukup,,Johor,"82300",Malaysia,,,stop_position,,,
Semporna Port,118.6141791,4.4787369,ferry_terminal,Jalan Causeway,,,Semporna,,Sabah,"91300",Malaysia,,,station,,,
